name,seed,gamma,model,pooling,momentum,patience,drop_prob,num_views,optimizer,scheduler,step_size,task_name,batch_size,hidden_dim,num_epochs,view_index,enable_wandb,detailed_logs,learning_rate,use_scheduler,_runtime,_step,_timestamp,dev_accuracy,dev_auroc,dev_f1_score,dev_loss,test_accuracy,test_auroc,test_f1_score,test_npv,test_positives,test_precision,test_recall,test_samples,test_specificity,train_loss,_wandb.runtime
lucky-sweep-1657,4730,0.8808588244592819,VideoPrism,mean,0.9,3,0.36455596702595783,4,AdamW,reduce,11,sustained_phonation_a,64,1024,145,-1,True,False,0.0020655439137965965,no,20,145,1769911132.6784875,0.7749077490774908,0.8624534198821974,0.7214611872146118,0.4745879819912224,0.772,0.8083088235294118,0.6951871657754011,0.8951048951048951,80,0.6074766355140186,0.8125,250,0.7529411764705882,0.2738521133811728,20
fearless-sweep-2947,78387,0.8808588244592819,VideoPrism,mean,0.9,3,0.1707808114177901,4,AdamW,reduce,11,sustained_phonation_a,64,1024,98,-1,True,False,0.007216365431470532,yes,20,98,1769999282.7954328,0.7933579335793358,0.8488400048082702,0.7052631578947368,0.4716547050159356,0.716,0.7790441176470588,0.5644171779141104,0.7964071856287425,80,0.5542168674698795,0.575,250,0.7823529411764706,0.3808418703310698,20
dandy-sweep-3003,55480,0.8808588244592819,VideoPrism,mean,0.9,3,0.42772092357152736,4,AdamW,step,11,sustained_phonation_a,64,1024,41,-1,True,False,0.0009258213685300184,yes,10,41,1770003053.218145,0.7896678966789668,0.8468565933405457,0.7046632124352331,0.498335764856796,0.712,0.7925735294117647,0.5555555555555556,0.7916666666666666,80,0.5487804878048781,0.5625,250,0.7823529411764706,0.40845450440656794,10
fiery-sweep-3422,30380,0.8808588244592819,VideoPrism,mean,0.9,3,0.49030062560702714,4,AdamW,step,11,sustained_phonation_a,64,768,48,-1,True,False,0.0032034743145370422,no,9,48,1770031620.9043925,0.7490774907749077,0.8439716312056738,0.6761904761904762,0.4986463609216838,0.708,0.7919852941176471,0.5875706214689266,0.8169934640522876,80,0.5360824742268041,0.65,250,0.7352941176470589,0.3434466774602538,9
devout-sweep-2770,26721,0.8808588244592819,VideoPrism,mean,0.9,3,0.11111656117152742,4,AdamW,step,11,sustained_phonation_a,64,768,37,-1,True,False,0.0004298472473090932,yes,8,37,1769986903.0344405,0.7675276752767528,0.8428296670272869,0.7014218009478673,0.5334212881172715,0.704,0.7785294117647059,0.5888888888888889,0.82,80,0.53,0.6625,250,0.7235294117647059,0.4524618147067654,8
charmed-sweep-944,52117,0.8808588244592819,VideoPrism,mean,0.9,3,0.1708650894243346,4,AdamW,step,11,sustained_phonation_a,64,256,186,-1,True,False,0.0006825621489577327,no,32,186,1769865196.9182675,0.7749077490774908,0.8424089433826181,0.7024390243902439,0.501153785144271,0.712,0.7947794117647058,0.5862068965517241,0.8141025641025641,80,0.5425531914893617,0.6375,250,0.7470588235294118,0.3425482997616518,32
floral-sweep-1886,77424,0.8808588244592819,VideoPrism,mean,0.9,3,0.4903546887382161,4,AdamW,step,11,sustained_phonation_a,64,768,188,-1,True,False,0.0008538633532856727,yes,34,188,1769927125.17354,0.7712177121771218,0.8407260488039429,0.696078431372549,0.514810697838829,0.716,0.7947794117647059,0.5895953757225434,0.8152866242038217,80,0.5483870967741935,0.6375,250,0.7529411764705882,0.3533533215522766,34
dulcet-sweep-96,1750,0.8808588244592819,VideoPrism,mean,0.9,3,0.1975398123059302,4,AdamW,step,11,sustained_phonation_a,64,768,113,-1,True,False,0.00015745416208886852,yes,21,113,1769806048.663435,0.7453874538745388,0.8406659454261329,0.684931506849315,0.5613691333915035,0.688,0.7821323529411764,0.5894736842105263,0.8285714285714286,80,0.509090909090909,0.7,250,0.6823529411764706,0.46182576371628103,21
rare-sweep-2390,90874,0.8808588244592819,VideoPrism,mean,0.9,3,0.32980750124502156,4,AdamW,step,11,sustained_phonation_a,64,512,139,-1,True,False,0.0017808133319158657,yes,22,139,1769962272.7287202,0.7785977859778598,0.8400348599591296,0.7058823529411765,0.5041749849090716,0.744,0.8073161764705883,0.6444444444444445,0.8533333333333334,80,0.58,0.725,250,0.7529411764705882,0.23059254957055583,22
vague-sweep-1402,4788,0.8808588244592819,VideoPrism,mean,0.9,3,0.25390885520860196,4,AdamW,step,11,sustained_phonation_a,64,768,155,-1,True,False,0.0010828172029838886,no,28,155,1769894670.0400069,0.7601476014760148,0.839944704892415,0.6798029556650246,0.4975835929497582,0.732,0.7963235294117648,0.6127167630057804,0.8280254777070064,80,0.5698924731182796,0.6625,250,0.7647058823529411,0.43805387066405954,28
splendid-sweep-1387,67821,0.8808588244592819,VideoPrism,mean,0.9,3,0.18763189102228017,4,AdamW,reduce,11,sustained_phonation_a,64,768,199,-1,True,False,0.00016274897443243732,yes,35,199,1769893816.5805366,0.7416974169741697,0.8395239812477462,0.6788990825688074,0.5438489311295682,0.696,0.7860294117647059,0.6041666666666666,0.8405797101449275,80,0.5178571428571429,0.725,250,0.6823529411764706,0.4418659800464667,35
graceful-sweep-1150,43347,0.8808588244592819,VideoPrism,mean,0.9,3,0.29779004000791853,4,AdamW,step,11,sustained_phonation_a,64,512,185,-1,True,False,0.0006846878356284884,no,23,185,1769879346.7203872,0.7527675276752768,0.8394638778699363,0.6666666666666666,0.5144132520879766,0.716,0.7964705882352943,0.5847953216374269,0.8113207547169812,80,0.5494505494505495,0.625,250,0.7588235294117647,0.44244908939287503,23
eager-sweep-886,90269,0.8808588244592819,VideoPrism,mean,0.9,3,0.12056095986093628,4,AdamW,step,11,sustained_phonation_a,64,512,182,-1,True,False,0.0017418968651062457,no,32,182,1769861520.0761385,0.7564575645756457,0.8389229474696478,0.6732673267326733,0.5000587926139691,0.732,0.7987500000000001,0.5988023952095808,0.8159509202453987,80,0.5747126436781609,0.625,250,0.7823529411764706,0.4195701427830076,32
